honorific_title,name,gender,username,profile_URL,account_status,political_affiliation,constituency,province_territory
NA,Wayne Long,Man,waynelongsj.bsky.social,https://bsky.app/profile/waynelongsj.bsky.social,Active,Liberal,Saint John—Rothesay,New Brunswick
NA,Lloyd Longfield,Man,lloydlongfield.bsky.social,https://bsky.app/profile/lloydlongfield.bsky.social,Active,Liberal,Guelph,Ontario
NA,Tim Louis,Man,timlouiskitcon.bsky.social,https://bsky.app/profile/timlouiskitcon.bsky.social,Active,Liberal,Kitchener—Conestoga,Ontario
NA,Alistair MacGregor,Man,alistairmacgregor.bsky.social,https://bsky.app/profile/alistairmacgregor.bsky.social,Active,NDP,Cowichan—Malahat—Langford,British Columbia
Hon.,Steven MacKinnon,Man,stevenmackinnon.bsky.social,https://bsky.app/profile/stevenmackinnon.bsky.social,Inactive,Liberal,Gatineau,Quebec
NA,James Maloney,Man,maloneyj.bsky.social,https://bsky.app/profile/maloneyj.bsky.social,Active,Liberal,Etobicoke—Lakeshore,Ontario
NA,Brian Masse,Man,brianmassemp.bsky.social,https://bsky.app/profile/brianmassemp.bsky.social,Active,NDP,Windsor West,Ontario
NA,Lindsay Mathyssen,Woman,lindsaymathyssen.bsky.social,https://bsky.app/profile/lindsaymathyssen.bsky.social,Active,NDP,London—Fanshawe,Ontario
NA,Bryan May,Man,bryanmaymp.bsky.social,https://bsky.app/profile/bryanmaymp.bsky.social,Inactive,Liberal,Cambridge,Ontario
NA,Elizabeth May,Woman,elizabethemay.bsky.social,https://bsky.app/profile/elizabethemay.bsky.social,Active,Green Party,Saanich—Gulf Islands,British Columbia
NA,Ron McKinnon,Man,ronmckinnon.bsky.social,https://bsky.app/profile/ronmckinnon.bsky.social,Inactive,Liberal,Coquitlam—Port Coquitlam,British Columbia
NA,Greg McLean,Man,gregmcleanyyc.bsky.social,https://bsky.app/profile/gregmcleanyyc.bsky.social,Active,Conservative,Calgary Centre,Alberta
NA,Heather McPherson,Woman,heathermcpherson.bsky.social,https://bsky.app/profile/heathermcpherson.bsky.social,Active,NDP,Edmonton Strathcona,Alberta
NA,Alexandra Mendès,Woman,alexandramendes.bsky.social,https://bsky.app/profile/alexandramendes.bsky.social,Active,Liberal,Brossard—Saint-Lambert,Quebec
Hon.,Marco Mendicino,Man,marcomendicino.bsky.social,https://bsky.app/profile/marcomendicino.bsky.social,Inactive,Liberal,Eglinton—Lawrence,Ontario
NA,Kristina Michaud,Woman,kristinamichaud.bsky.social,https://bsky.app/profile/kristinamichaud.bsky.social,Active,Bloc Québécois,Avignon—La Mitis—Matane—Matapédia,Quebec
Hon.,Marc Miller,Man,marcmillermp.bsky.social,https://bsky.app/profile/marcmillermp.bsky.social,Active,Liberal,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Quebec
NA,Mike Morrice,Man,morricemike.bsky.social,https://bsky.app/profile/morricemike.bsky.social,Active,Green Party,Kitchener Centre,Ontario
NA,Yasir Naqvi,Man,yasirnaqvicdn.bsky.social,https://bsky.app/profile/yasirnaqvicdn.bsky.social,Inactive,Liberal,Ottawa Centre,Ontario
Hon.,Mary Ng,Woman,maryng.bsky.social,https://bsky.app/profile/maryng.bsky.social,Inactive,Liberal,Markham—Thornhill,Ontario
NA,Taleeb Noormohamed,Man,taleeb.bsky.social,https://bsky.app/profile/taleeb.bsky.social,Active,Liberal,Vancouver Granville,British Columbia
Hon.,Robert Oliphant,Man,roboliphant.bsky.social,https://bsky.app/profile/roboliphant.bsky.social,Active,Liberal,Don Valley West,Ontario
NA,Pierre Paul-Hus,Man,pierrepaul-hus.bsky.social,https://bsky.app/profile/pierrepaul-hus.bsky.social,Active,Conservative,Charlesbourg—Haute-Saint-Charles,Quebec
NA,Alain Rayes,Man,alainrayes.bsky.social,https://bsky.app/profile/alainrayes.bsky.social,Active,Independent,Richmond—Arthabaska,Quebec
Hon.,Michelle Rempel Garner,Woman,michellegarner.bsky.social,https://bsky.app/profile/michellegarner.bsky.social,Active,Conservative,Calgary Nose Hill,Alberta
Hon.,Pablo Rodriguez,Man,pablo-rodriguez.bsky.social,https://bsky.app/profile/pablo-rodriguez.bsky.social,Active,Independent,Honoré-Mercier,Quebec
NA,Sherry Romanado,Woman,sherryromanado.bsky.social,https://bsky.app/profile/sherryromanado.bsky.social,Inactive,Liberal,Longueuil—Charles-LeMoyne,Quebec
Hon.,Ruby Sahota,Woman,rubysahotalib.bsky.social,https://bsky.app/profile/rubysahotalib.bsky.social,Inactive,Liberal,Brampton North,Ontario
NA,Marc Serré,Man,marcgserremp.bsky.social,https://bsky.app/profile/marcgserremp.bsky.social,Inactive,Liberal,Nickel Belt,Ontario
Hon.,Judy Sgro,Woman,honjudysgro.bsky.social,https://bsky.app/profile/honjudysgro.bsky.social,Inactive,Liberal,Humber River—Black Creek,Ontario
NA,Maninder Sidhu,Man,manindersidhu.bsky.social,https://bsky.app/profile/manindersidhu.bsky.social,Active,Liberal,Brampton East,Ontario
NA,Nathalie Sinclair-Desgagné,Woman,nathaliesinclaird.bsky.social,https://bsky.app/profile/nathaliesinclaird.bsky.social,Inactive,Bloc Québécois,Terrebonne,Quebec
NA,Jagmeet Singh,Man,jagmeetsingh.ca,https://bsky.app/profile/jagmeetsingh.ca,Active,NDP,Burnaby South,British Columbia
Hon.,Pascale St-Onge,Woman,pascalestonge.bsky.social,https://bsky.app/profile/pascalestonge.bsky.social,Active,Liberal,Brome—Missisquoi,Quebec
